ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
600000376,Dragon Greatclaw [Spark],0,100,1,1,[0|0],90000142,0,0,0,12,0,[0|0]
600000377,Dragon Greatclaw [SparkSlam],0,101,1,1,[0|0],90000144,0,20,0,12,0,[0|0]
600000378,Dragon Greatclaw [SparkSlam2],0,102,1,1,[0|0],90000145,0,20,0,12,0,[0|0]
600000379,Dragon Greatclaw [Wave],0,103,1,1,[0|0],90000146,0,0,0,12,0,[0|0]
600000380,Dragon Greatclaw [Wave3],0,104,1,1,[0|0],90000159,0,0,0,12,0,[0|0]
600000381,Dragon Greatclaw [Spear],0,105,1,1,[0|0],90000160,0,25,0,12,0,[0|0]
600000382,Dragon Greatclaw [Storm],0,106,1,1,[0|0],90000163,0,0,0,12,0,[0|0]
600000383,Dragon Greatclaw [StormArea],0,107,1,1,[0|0],90000180,0,0,0,12,0,[0|0]
600000384,Dragon Greatclaw [GiantStrike],0,108,1,1,[0|0],90000183,0,30,0,12,0,[0|0]
600000385,Dragon Greatclaw [SparkSlam3],0,109,1,1,[0|0],90000184,0,15,0,12,0,[0|0]
600000386,Dragon Greatclaw [StormCircle],0,110,1,1,[0|0],90000185,0,15,0,12,0,[0|0]
600000387,Dragon Greatclaw [GiantStrike2],0,111,1,1,[0|0],90000202,0,30,0,12,0,[0|0]
600000389,Dragon Greatclaw [SpearWeak],0,113,1,1,[0|0],90000204,0,15,0,12,0,[0|0]
600000390,Dragon Greatclaw [QuickExplosion],0,114,1,1,[0|0],90000205,0,30,0,12,0,[0|0]
600000391,Dragon Greatclaw [FollowSpear],0,115,1,1,[0|0],90000206,0,30,0,12,0,[0|0]
600000392,Dragon Greatclaw [SingleBoltSFX],0,116,1,1,[0|0],90000208,0,0,0,12,0,[0|0]
600000393,Dragon Greatclaw [SpearRain],0,117,1,1,[0|0],90000209,0,0,0,12,0,[0|0]
600000394,Dragon Greatclaw [GiantStrike3],0,118,1,1,[0|0],90000214,0,20,0,12,0,[0|0]
600000395,Dragon Greatclaw [QuickExplosion2],0,119,1,1,[0|0],90000216,0,20,0,12,0,[0|0]
600000396,Dragon Greatclaw [StormCircle2],0,120,1,1,[0|0],90000217,0,20,0,12,0,[0|0]
600000397,Dragon Greatclaw [AreaAura],0,121,1,1,[0|0],90000215,0,0,0,12,0,[0|0]
600000398,Dragon Greatclaw [GiantWave],0,122,1,1,[0|0],90000235,0,30,0,12,0,[0|0]
600000399,Dragon Greatclaw [GiantStormArea],0,123,1,1,[0|0],90000241,0,30,0,12,0,[0|0]
600000400,Dragon Greatclaw [GiantHonedStrike],0,124,1,1,[0|0],90000244,0,0,0,12,0,[0|0]
600000401,Dragon Greatclaw [N U K E],0,125,1,1,[0|0],90000247,0,30,0,12,0,[0|0]
600000402,Dragon Greatclaw [Glaive],0,125,1,0,[0|0],400000042,0,15,0,12,0,[0|0]
