Unique Attacks found in selection: 
410
1
3296
3286
3287
3294
3288
3289
3298
200
Attack found in TAE: 2000,Attack found in Animation: 19010,Attack BehaviorJudge ID:  410,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19010,Attack BehaviorJudge ID:  1,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19014,Attack BehaviorJudge ID:  410,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19014,Attack BehaviorJudge ID:  1,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19200,Attack BehaviorJudge ID:  3296,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19200,Attack BehaviorJudge ID:  3286,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19200,Attack BehaviorJudge ID:  3287,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19200,Attack BehaviorJudge ID:  3294,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19210,Attack BehaviorJudge ID:  3296,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19210,Attack BehaviorJudge ID:  3288,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19210,Attack BehaviorJudge ID:  3289,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19210,Attack BehaviorJudge ID:  3294,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19220,Attack BehaviorJudge ID:  3296,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19220,Attack BehaviorJudge ID:  3294,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19400,Attack BehaviorJudge ID:  3296,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19400,Attack BehaviorJudge ID:  3286,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19400,Attack BehaviorJudge ID:  3287,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19400,Attack BehaviorJudge ID:  3294,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19410,Attack BehaviorJudge ID:  3296,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19410,Attack BehaviorJudge ID:  3288,Attack Required StateInfo:  0
Attack found in TAE: 2000,Attack found in Animation: 19410,Attack BehaviorJudge ID:  3289,Attack Required StateInfo:  0
