Unique Bullets found in selection: 
3141
3142
Bullet found in TAE: 2000,Bullet found in Animation: 19200,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2000,Bullet found in Animation: 19210,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2000,Bullet found in Animation: 19220,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2000,Bullet found in Animation: 19400,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2000,Bullet found in Animation: 19410,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2000,Bullet found in Animation: 19420,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19200,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19210,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19220,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19250,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19260,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19270,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19300,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19310,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19320,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19400,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19410,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2002,Bullet found in Animation: 19420,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2003,Bullet found in Animation: 19200,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3142,Bullet Required StateInfo:  888
Bullet found in TAE: 2003,Bullet found in Animation: 19210,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3142,Bullet Required StateInfo:  888
Bullet found in TAE: 2003,Bullet found in Animation: 19220,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3142,Bullet Required StateInfo:  888
Bullet found in TAE: 2010,Bullet found in Animation: 19200,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2010,Bullet found in Animation: 19210,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2010,Bullet found in Animation: 19220,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2012,Bullet found in Animation: 19200,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2012,Bullet found in Animation: 19210,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2012,Bullet found in Animation: 19220,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2013,Bullet found in Animation: 19200,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2013,Bullet found in Animation: 19210,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2013,Bullet found in Animation: 19220,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2015,Bullet found in Animation: 19200,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2015,Bullet found in Animation: 19210,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2015,Bullet found in Animation: 19220,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2015,Bullet found in Animation: 19400,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2015,Bullet found in Animation: 19410,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
Bullet found in TAE: 2015,Bullet found in Animation: 19420,Bullet Dummypoly ID:  55,Bullet BehaviorJudge ID:  3142,Bullet Required StateInfo:  888
Bullet found in TAE: 2028,Bullet found in Animation: 35910,Bullet Dummypoly ID:  80,Bullet BehaviorJudge ID:  3141,Bullet Required StateInfo:  888
